REQ-00001 | Path: /api/v1/user/profile | Format: JSON | Size: 4KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00002 | Path: /api/v1/checkout | Format: JSON | Size: 12KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00003 | Path: /api/v1/payments | Format: RAW_TEXT_INJECTION | Size: 8200KB | Route_To: QUARANTINE_ISOLATION_SERVER | HTTP_Status: 400
REQ-00004 | Path: /api/v1/admin/debug | Format: MALFORMED_XML | Size: 4500KB | Route_To: QUARANTINE_ISOLATION_SERVER | HTTP_Status: 400
REQ-00005 | Path: /api/v1/payments | Format: RAW_TEXT_INJECTION | Size: 8200KB | Route_To: QUARANTINE_ISOLATION_SERVER | HTTP_Status: 400
REQ-00006 | Path: /api/v1/checkout | Format: JSON | Size: 12KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00007 | Path: /api/v1/checkout | Format: JSON | Size: 12KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00008 | Path: /api/v1/payments | Format: RAW_TEXT_INJECTION | Size: 8200KB | Route_To: QUARANTINE_ISOLATION_SERVER | HTTP_Status: 400
REQ-00009 | Path: /api/v1/payments | Format: RAW_TEXT_INJECTION | Size: 8200KB | Route_To: QUARANTINE_ISOLATION_SERVER | HTTP_Status: 400
REQ-00010 | Path: /api/v1/admin/debug | Format: MALFORMED_XML | Size: 4500KB | Route_To: QUARANTINE_ISOLATION_SERVER | HTTP_Status: 400
REQ-00011 | Path: /api/v1/checkout | Format: JSON | Size: 12KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00012 | Path: /api/v1/user/profile | Format: JSON | Size: 4KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00013 | Path: /api/v1/payments | Format: RAW_TEXT_INJECTION | Size: 8200KB | Route_To: QUARANTINE_ISOLATION_SERVER | HTTP_Status: 400
REQ-00014 | Path: /api/v1/user/profile | Format: JSON | Size: 4KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00015 | Path: /api/v1/checkout | Format: JSON | Size: 12KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00016 | Path: /api/v1/user/profile | Format: JSON | Size: 4KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00017 | Path: /api/v1/checkout | Format: JSON | Size: 12KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00018 | Path: /api/v1/payments | Format: RAW_TEXT_INJECTION | Size: 8200KB | Route_To: QUARANTINE_ISOLATION_SERVER | HTTP_Status: 400
REQ-00019 | Path: /api/v1/checkout | Format: JSON | Size: 12KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00020 | Path: /api/v1/checkout | Format: JSON | Size: 12KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00021 | Path: /api/v1/checkout | Format: JSON | Size: 12KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
REQ-00022 | Path: /api/v1/user/profile | Format: JSON | Size: 4KB | Route_To: CORE_APPLICATION_CLUSTER | HTTP_Status: 200
